i, x, y_cpp, y_a, y_b, y_c, diff_ab, diff_ac, diff_bc
 214,      0.24593973,      0.15870380,      0.15870380,      0.15870380,      0.15870380, 0, 0, 0, 
 215,     -0.10754871,      0.01869366,      0.01869366,      0.01869367,      0.01869367, 1, 1, 0, 
 216,     -0.05523646,     -0.08013794,     -0.08013794,     -0.08013794,     -0.08013794, 0, 0, 0, 
 217,     -0.10917556,     -0.16457614,     -0.16457614,     -0.16457614,     -0.16457614, 0, 0, 0, 
 218,     -0.32983083,     -0.24882552,     -0.24882552,     -0.24882552,     -0.24882552, 0, 0, 0, 
 219,     -0.33034700,     -0.25404504,     -0.25404504,     -0.25404504,     -0.25404504, 0, 0, 0, 
 220,     -0.18889672,     -0.14449143,     -0.14449143,     -0.14449142,     -0.14449142, 1, 1, 0, 
 221,      0.10144699,     -0.00125727,     -0.00125727,     -0.00125727,     -0.00125727, 1, 1, 0, 
 222,      0.06694835,      0.11750731,      0.11750731,      0.11750732,      0.11750732, 1, 1, 0, 
 223,      0.18934226,      0.24987032,      0.24987032,      0.24987030,      0.24987030, 1, 1, 0, 
 224,      0.50416666,      0.40886879,      0.40886885,      0.40886879,      0.40886879, 1, 1, 0, 
 225,      0.47596425,      0.57291108,      0.57291108,      0.57291114,      0.57291114, 1, 1, 0, 
 226,      0.78872657,      0.73831624,      0.73831624,      0.73831618,      0.73831618, 1, 1, 0, 
 227,      0.94987714,      0.87165314,      0.87165314,      0.87165314,      0.87165314, 0, 0, 0, 
 228,      0.87316805,      0.95978302,      0.95978308,      0.95978302,      0.95978302, 1, 1, 0, 
 229,      1.12364507,      1.03108132,      1.03108132,      1.03108120,      1.03108120, 1, 1, 0, 
 230,      1.03470516,      1.09424305,      1.09424305,      1.09424293,      1.09424293, 1, 1, 0, 
 231,      1.17406023,      1.15347874,      1.15347874,      1.15347886,      1.15347886, 1, 1, 0, 
 232,      1.23566747,      1.20087862,      1.20087862,      1.20087862,      1.20087862, 0, 0, 0, 
 233,      1.20616364,      1.22324991,      1.22324991,      1.22324991,      1.22324991, 0, 0, 0, 
 234,      1.24445391,      1.22154844,      1.22154844,      1.22154844,      1.22154844, 0, 0, 0, 
 235,      1.24047160,      1.17938471,      1.17938471,      1.17938471,      1.17938471, 0, 0, 0, 
 236,      1.05584288,      1.10276067,      1.10276067,      1.10276079,      1.10276079, 1, 1, 0, 
 237,      1.01997530,      1.03596354,      1.03596354,      1.03596342,      1.03596342, 1, 1, 0, 
 238,      1.02287257,      0.96353471,      0.96353471,      0.96353471,      0.96353471, 0, 0, 0, 
 239,      0.90023005,      0.81518352,      0.81518352,      0.81518352,      0.81518352, 0, 0, 0, 
 240,      0.54265624,      0.59840083,      0.59840083,      0.59840083,      0.59840083, 0, 0, 0, 
 241,      0.35946530,      0.39688203,      0.39688203,      0.39688206,      0.39688206, 1, 1, 0, 
 242,      0.25682202,      0.23702760,      0.23702760,      0.23702760,      0.23702760, 0, 0, 0, 
 243,      0.09517777,      0.07639766,      0.07639766,      0.07639766,      0.07639766, 0, 0, 0, 
 244,     -0.10971904,     -0.09452207,     -0.09452207,     -0.09452207,     -0.09452207, 0, 0, 0, 
 245,     -0.29658127,     -0.24952582,     -0.24952582,     -0.24952582,     -0.24952582, 0, 0, 0, 
 246,     -0.30524701,     -0.39544088,     -0.39544088,     -0.39544088,     -0.39544088, 0, 0, 0, 
 247,     -0.64823902,     -0.52165151,     -0.52165151,     -0.52165151,     -0.52165151, 0, 0, 0, 
 248,     -0.60657173,     -0.57757789,     -0.57757795,     -0.57757795,     -0.57757795, 0, 0, 0, 
 249,     -0.51313424,     -0.57881004,     -0.57881004,     -0.57881004,     -0.57881004, 0, 0, 0, 
 250,     -0.65107644,     -0.56133199,     -0.56133199,     -0.56133199,     -0.56133199, 0, 0, 0, 
 251,     -0.50332332,     -0.51453424,     -0.51453424,     -0.51453424,     -0.51453424, 0, 0, 0, 
 252,     -0.40245152,     -0.47139800,     -0.47139800,     -0.47139800,     -0.47139800, 0, 0, 0, 
 253,     -0.48536178,     -0.45524371,     -0.45524371,     -0.45524371,     -0.45524371, 0, 0, 0, 
 254,     -0.52184212,     -0.38825935,     -0.38825935,     -0.38825929,     -0.38825929, 1, 1, 0, 
 255,     -0.17123097,     -0.24261633,     -0.24261633,     -0.24261631,     -0.24261631, 1, 1, 0, 
 256,     -0.05227369,     -0.09293540,     -0.09293540,     -0.09293540,     -0.09293540, 0, 0, 0, 
 257,     -0.07265010,      0.05819615,      0.05819615,      0.05819615,      0.05819615, 0, 0, 0, 
 258,      0.32404214,      0.23578013,      0.23578013,      0.23578015,      0.23578015, 1, 1, 0, 
 259,      0.45119619,      0.37887892,      0.37887892,      0.37887892,      0.37887892, 0, 0, 0, 
 260,      0.36631870,      0.47322476,      0.47322476,      0.47322476,      0.47322476, 0, 0, 0, 
 261,      0.66609246,      0.55926722,      0.55926722,      0.55926728,      0.55926728, 1, 1, 0, 
 262,      0.58048725,      0.63242579,      0.63242579,      0.63242579,      0.63242579, 0, 0, 0, 
 263,      0.71330100,      0.67948079,      0.67948079,      0.67948079,      0.67948079, 0, 0, 0, 
 264,      0.75199711,      0.68482459,      0.68482459,      0.68482465,      0.68482465, 1, 1, 0, 
 265,      0.59585702,      0.63816077,      0.63816077,      0.63816077,      0.63816077, 0, 0, 0, 
 266,      0.62809205,      0.54688585,      0.54688585,      0.54688585,      0.54688585, 0, 0, 0, 
 267,      0.40177250,      0.41212633,      0.41212633,      0.41212630,      0.41212630, 1, 1, 0, 
 268,      0.23910648,      0.24526699,      0.24526699,      0.24526700,      0.24526700, 1, 1, 0, 
 269,      0.11873466,      0.06024247,      0.06024247,      0.06024248,      0.06024248, 1, 1, 0, 
 270,     -0.22048742,     -0.13599817,     -0.13599817,     -0.13599817,     -0.13599817, 0, 0, 0, 
